scheduleId	planId	machineType	machineId	operation	operationSequence	productCode	quantity	scheduledStartTime	scheduledEndTime	status	totalTime
SCH-1757167519214-893	PDP-1757167517786	extruder	EXT-002	Extrude Brown core	2	PC1360BBK	100	2025-09-08T01:00:00.000Z	2025-09-08T06:00:00.000Z	Scheduled	10.5
SCH-1757167516331-868	PDP-1757167514268	extruder	EXT-002	Extrude Blue core	3	PC1360BBK	100	2025-09-08T01:00:00.000Z	2025-09-08T06:00:00.000Z	Scheduled	10.5
SCH-1757167521227-824	PDP-1757167518818	extruder	EXT-002	Extrude Brown core	2	PC1360BBK	100	2025-09-08T01:00:00.000Z	2025-09-08T06:00:00.000Z	Scheduled	10.5
SCH-1757167515167-154	PDP-1757167513755	extruder	EXT-002	Extrude Yellow-Green core	4	PC1360BBK	100	2025-09-08T01:00:00.000Z	2025-09-08T06:00:00.000Z	Scheduled	10.5
SCH-1757167517894-569	PDP-1757167514435	extruder	EXT-002	Extrude Blue core	3	PC1360BBK	100	2025-09-08T01:00:00.000Z	2025-09-08T06:00:00.000Z	Scheduled	10.5
SCH-1757167512912-790	PDP-1757167511289	extruder	FEXT-001	Apply outer sheath	6	PC1360BBK	100	2025-09-08T11:00:00.000Z	2025-09-08T15:00:00.000Z	Scheduled	7.5
SCH-1757167515772-657	PDP-1757167514018	extruder	EXT-002	Extrude Yellow-Green core	4	PC1360BBK	100	2025-09-08T01:00:00.000Z	2025-09-08T06:00:00.000Z	Scheduled	10.5
SCH-1757167519214-087	PDP-1757167517786	extruder	EXT-002	Extrude Blue core	3	PC1360BBK	100	2025-09-08T01:00:00.000Z	2025-09-08T06:00:00.000Z	Scheduled	10.5
SCH-1757167516331-288	PDP-1757167514268	extruder	EXT-002	Extrude Yellow-Green core	4	PC1360BBK	100	2025-09-08T01:00:00.000Z	2025-09-08T06:00:00.000Z	Scheduled	10.5
SCH-1757167521227-669	PDP-1757167518818	extruder	EXT-002	Extrude Blue core	3	PC1360BBK	100	2025-09-08T01:00:00.000Z	2025-09-08T06:00:00.000Z	Scheduled	10.5
SCH-1757167515167-654	PDP-1757167513755	laying	LAY-001	Combine cores	5	PC1360BBK	100	2025-09-08T06:30:00.000Z	2025-09-08T10:30:00.000Z	Scheduled	8.5
SCH-1757167517894-483	PDP-1757167514435	extruder	EXT-002	Extrude Yellow-Green core	4	PC1360BBK	100	2025-09-08T01:00:00.000Z	2025-09-08T06:00:00.000Z	Scheduled	10.5
SCH-1757167512912-323	PDP-1757167511289	coiling	COIL-001	Wind and package	7	PC1360BBK	100	2025-09-08T15:30:00.000Z	2025-09-09T02:30:00.000Z	Scheduled	4.5
SCH-1757167515772-554	PDP-1757167514018	laying	LAY-001	Combine cores	5	PC1360BBK	100	2025-09-08T06:30:00.000Z	2025-09-08T10:30:00.000Z	Scheduled	8.5
SCH-1757167519214-136	PDP-1757167517786	extruder	EXT-002	Extrude Yellow-Green core	4	PC1360BBK	100	2025-09-08T01:00:00.000Z	2025-09-08T06:00:00.000Z	Scheduled	10.5
SCH-1757167516331-423	PDP-1757167514268	laying	LAY-001	Combine cores	5	PC1360BBK	100	2025-09-08T06:30:00.000Z	2025-09-08T10:30:00.000Z	Scheduled	8.5
SCH-1757167521227-089	PDP-1757167518818	extruder	EXT-002	Extrude Yellow-Green core	4	PC1360BBK	100	2025-09-08T01:00:00.000Z	2025-09-08T06:00:00.000Z	Scheduled	10.5
SCH-1757167515167-975	PDP-1757167513755	extruder	FEXT-001	Apply outer sheath	6	PC1360BBK	100	2025-09-08T11:00:00.000Z	2025-09-08T15:00:00.000Z	Scheduled	7.5
SCH-1757167517894-175	PDP-1757167514435	laying	LAY-001	Combine cores	5	PC1360BBK	100	2025-09-08T06:30:00.000Z	2025-09-08T10:30:00.000Z	Scheduled	8.5
SCH-1757167515772-255	PDP-1757167514018	extruder	FEXT-001	Apply outer sheath	6	PC1360BBK	100	2025-09-08T11:00:00.000Z	2025-09-08T15:00:00.000Z	Scheduled	7.5
SCH-1757167519214-089	PDP-1757167517786	laying	LAY-001	Combine cores	5	PC1360BBK	100	2025-09-08T06:30:00.000Z	2025-09-08T10:30:00.000Z	Scheduled	8.5
SCH-1757167516331-516	PDP-1757167514268	extruder	FEXT-001	Apply outer sheath	6	PC1360BBK	100	2025-09-08T11:00:00.000Z	2025-09-08T15:00:00.000Z	Scheduled	7.5
SCH-1757167521227-521	PDP-1757167518818	laying	LAY-001	Combine cores	5	PC1360BBK	100	2025-09-08T06:30:00.000Z	2025-09-08T10:30:00.000Z	Scheduled	8.5
SCH-1757167515167-347	PDP-1757167513755	coiling	COIL-001	Wind and package	7	PC1360BBK	100	2025-09-08T15:30:00.000Z	2025-09-09T02:30:00.000Z	Scheduled	4.5
SCH-1757167517894-356	PDP-1757167514435	extruder	FEXT-001	Apply outer sheath	6	PC1360BBK	100	2025-09-08T11:00:00.000Z	2025-09-08T15:00:00.000Z	Scheduled	7.5
SCH-1757167515772-087	PDP-1757167514018	coiling	COIL-001	Wind and package	7	PC1360BBK	100	2025-09-08T15:30:00.000Z	2025-09-09T02:30:00.000Z	Scheduled	4.5
SCH-1757167519214-478	PDP-1757167517786	extruder	FEXT-001	Apply outer sheath	6	PC1360BBK	100	2025-09-08T11:00:00.000Z	2025-09-08T15:00:00.000Z	Scheduled	7.5
SCH-1757167516331-986	PDP-1757167514268	coiling	COIL-001	Wind and package	7	PC1360BBK	100	2025-09-08T15:30:00.000Z	2025-09-09T02:30:00.000Z	Scheduled	4.5
SCH-1759596829833-341	PDP-1759596828075	bunching	BM-001	Bundle copper strands	1	INDUCTION 3 C 3 PIN MAIN LEAD	12000	2025-10-06T00:30:00.000Z	2025-10-07T05:30:00.000Z	Scheduled	24
SCH-1759596829833-076	PDP-1759596828075	extruder	EXT-001	Extrude Brown core	2	INDUCTION 3 C 3 PIN MAIN LEAD	4000	2025-10-07T06:00:00.000Z	2025-10-08T06:30:00.000Z	Scheduled	22
SCH-1759596829834-037	PDP-1759596828075	extruder	EXT-001	Extrude Blue core	3	INDUCTION 3 C 3 PIN MAIN LEAD	4000	2025-10-07T06:00:00.000Z	2025-10-08T06:30:00.000Z	Scheduled	22
SCH-1759596829834-344	PDP-1759596828075	extruder	EXT-001	Extrude Yellow-Green core	4	INDUCTION 3 C 3 PIN MAIN LEAD	4000	2025-10-07T06:00:00.000Z	2025-10-08T06:30:00.000Z	Scheduled	22
SCH-1759596829834-295	PDP-1759596828075	laying	LAY-001	Combine cores	5	INDUCTION 3 C 3 PIN MAIN LEAD	4000	2025-10-08T07:00:00.000Z	2025-10-09T02:30:00.000Z	Scheduled	16
SCH-1759596829834-351	PDP-1759596828075	extruder	FEXT-001	Apply outer sheath	6	INDUCTION 3 C 3 PIN MAIN LEAD	4000	2025-10-09T03:00:00.000Z	2025-10-09T17:00:00.000Z	Scheduled	17.5
SCH-1759596829834-217	PDP-1759596828075	coiling	COIL-001	Wind and package	7	INDUCTION 3 C 3 PIN MAIN LEAD	4000	2025-10-10T00:30:00.000Z	2025-10-14T09:30:00.000Z	Scheduled	59
SCH-1760512326992-108	PDP-1760512323961	bunching	BM-001	Bundle copper strands	1	INDUCTION 3 C 3 PIN MAIN LEAD	14400	2025-10-15T07:10:59.830Z	2025-10-16T14:30:00.000Z	Scheduled	27.5
SCH-1760512326993-694	PDP-1760512323961	extruder	EXT-001	Extrude Brown core	2	INDUCTION 3 C 3 PIN MAIN LEAD	4800	2025-10-16T15:00:00.000Z	2025-10-18T01:30:00.000Z	Scheduled	24.5
SCH-1760512326993-797	PDP-1760512323961	extruder	EXT-001	Extrude Blue core	3	INDUCTION 3 C 3 PIN MAIN LEAD	4800	2025-10-16T15:00:00.000Z	2025-10-18T01:30:00.000Z	Scheduled	24.5
SCH-1760512326993-038	PDP-1760512323961	extruder	EXT-001	Extrude Yellow-Green core	4	INDUCTION 3 C 3 PIN MAIN LEAD	4800	2025-10-16T15:00:00.000Z	2025-10-18T01:30:00.000Z	Scheduled	24.5
SCH-1760512326993-990	PDP-1760512323961	laying	LAY-001	Combine cores	5	INDUCTION 3 C 3 PIN MAIN LEAD	4800	2025-10-18T02:00:00.000Z	2025-10-18T15:00:00.000Z	Scheduled	17.5
SCH-1760512326993-506	PDP-1760512323961	extruder	FEXT-001	Apply outer sheath	6	INDUCTION 3 C 3 PIN MAIN LEAD	4800	2025-10-18T15:30:00.000Z	2025-10-20T15:30:00.000Z	Scheduled	20
SCH-1760512326993-742	PDP-1760512323961	coiling	COIL-001	Wind and package	7	INDUCTION 3 C 3 PIN MAIN LEAD	4000	2025-10-20T16:00:00.000Z	2025-10-24T08:30:00.000Z	Scheduled	59
SCH-1760697094411-289	PDP-1760697092029	bunching	BM-001	Bundle copper strands	1	Power cord	6000	2025-10-17T10:31:13.498Z	2025-10-18T06:30:00.000Z	Scheduled	15
SCH-1760697094412-425	PDP-1760697092029	extruder	EXT-001	Extrude Brown core	2	Power cord	2000	2025-10-18T07:00:00.000Z	2025-10-20T01:30:00.000Z	Scheduled	16
SCH-1760697094412-886	PDP-1760697092029	extruder	EXT-001	Extrude Blue core	3	Power cord	2000	2025-10-18T07:00:00.000Z	2025-10-20T01:30:00.000Z	Scheduled	16
SCH-1760697094412-950	PDP-1760697092029	extruder	EXT-001	Extrude Yellow-Green core	4	Power cord	2000	2025-10-18T07:00:00.000Z	2025-10-20T01:30:00.000Z	Scheduled	16
SCH-1760697094412-269	PDP-1760697092029	laying	LAY-001	Combine cores	5	Power cord	2000	2025-10-20T02:00:00.000Z	2025-10-20T10:00:00.000Z	Scheduled	12
SCH-1760697094412-625	PDP-1760697092029	extruder	FEXT-001	Apply outer sheath	6	Power cord	2000	2025-10-20T10:30:00.000Z	2025-10-21T03:30:00.000Z	Scheduled	12.5
SCH-1760697094412-412	PDP-1760697092029	coiling	COIL-002	Wind and package	7	Power cord	2000	2025-10-21T04:00:00.000Z	2025-10-22T15:30:00.000Z	Scheduled	30
SCH-1760705440330-559	PDP-1760705436723	bunching	BM-001	Bundle copper strands	1	INDUCTION 3 C 3 PIN MAIN LEAD	12000	2025-10-17T12:45:45.738Z	2025-10-20T01:30:00.000Z	Scheduled	24
SCH-1760705440330-409	PDP-1760705436723	extruder	EXT-002	Extrude Brown core	2	INDUCTION 3 C 3 PIN MAIN LEAD	4000	2025-10-20T02:00:00.000Z	2025-10-21T01:30:00.000Z	Scheduled	21
SCH-1760705440330-310	PDP-1760705436723	extruder	EXT-002	Extrude Blue core	3	INDUCTION 3 C 3 PIN MAIN LEAD	4000	2025-10-20T02:00:00.000Z	2025-10-21T01:30:00.000Z	Scheduled	21
SCH-1760705440330-792	PDP-1760705436723	extruder	EXT-002	Extrude Yellow-Green core	4	INDUCTION 3 C 3 PIN MAIN LEAD	4000	2025-10-20T02:00:00.000Z	2025-10-21T01:30:00.000Z	Scheduled	21
SCH-1760705440330-015	PDP-1760705436723	laying	LAY-001	Combine cores	5	INDUCTION 3 C 3 PIN MAIN LEAD	4000	2025-10-21T02:00:00.000Z	2025-10-21T14:00:00.000Z	Scheduled	16
SCH-1760705440330-694	PDP-1760705436723	extruder	FEXT-001	Apply outer sheath	6	INDUCTION 3 C 3 PIN MAIN LEAD	4000	2025-10-21T14:30:00.000Z	2025-10-22T12:30:00.000Z	Scheduled	17.5
SCH-1760705440330-226	PDP-1760705436723	coiling	COIL-001	Wind and package	7	INDUCTION 3 C 3 PIN MAIN LEAD	4000	2025-10-22T13:00:00.000Z	2025-10-27T05:30:00.000Z	Scheduled	59
SCH-1761326112416-292	PDP-1761326110230	bunching	BM-001	Bundle copper strands	1	Power cord	9000	2025-10-25T00:30:00.000Z	2025-10-27T00:30:00.000Z	Scheduled	19.5
SCH-1761326112416-255	PDP-1761326110230	extruder	EXT-002	Extrude Brown core	2	Power cord	3000	2025-10-27T01:00:00.000Z	2025-10-27T14:00:00.000Z	Scheduled	18
SCH-1761326112416-999	PDP-1761326110230	extruder	EXT-002	Extrude Blue core	3	Power cord	3000	2025-10-27T01:00:00.000Z	2025-10-27T14:00:00.000Z	Scheduled	18
SCH-1761326112416-712	PDP-1761326110230	extruder	EXT-002	Extrude Yellow-Green core	4	Power cord	3000	2025-10-27T01:00:00.000Z	2025-10-27T14:00:00.000Z	Scheduled	18
SCH-1761326112416-542	PDP-1761326110230	laying	LAY-001	Combine cores	5	Power cord	3000	2025-10-27T14:30:00.000Z	2025-10-28T08:30:00.000Z	Scheduled	14
SCH-1761326112416-098	PDP-1761326110230	extruder	FEXT-001	Apply outer sheath	6	Power cord	3000	2025-10-28T09:00:00.000Z	2025-10-29T03:30:00.000Z	Scheduled	15
SCH-1761326112416-941	PDP-1761326110230	coiling	COIL-001	Wind and package	7	Power cord	2000	2025-10-29T04:00:00.000Z	2025-10-31T00:30:00.000Z	Scheduled	31
